File;Source;Topic
essay01.txt;http://www.essayforum.com/writing-feedback-3/essay-should-students-taught-compete-cooperate-6788/;Should students be taught to compete or to cooperate?
essay02.txt;http://www.essayforum.com/writing-feedback-3/essay-more-people-migrating-other-countries-than-ever-before-53351/;More people are migrating to other countries than ever before
essay03.txt;http://www.essayforum.com/writing-feedback-3/essay-international-tourism-now-more-common-than-ever-before-53202/;International tourism is now more common than ever before (for)
essay04.txt;http://www.essayforum.com/writing-feedback-3/essay-international-tourism-now-more-common-than-ever-before-53202/;International tourism is now more common than ever before (against)
essay05.txt;http://www.essayforum.com/writing-feedback-3/essay-living-studying-overseas-7203/;Living and studying overseas
essay06.txt;http://www.essayforum.com/writing-feedback-3/persuasive-essay-should-exercise-40115/;Why you should exercise
essay07.txt;http://www.essayforum.com/writing-feedback-3/essay-newspapers-soon-become-thing-past-6887/;Will newspapers become a thing of the past?
essay08.txt;http://www.essayforum.com/writing-feedback-3/technology-cannot-solve-all-worlds-problems-53462/;Technology cannot solve all the world's problems
essay09.txt;http://www.essayforum.com/undergraduate-essays-2/marijuana-persuasive-essay-41857/;The Truth About Cannabis
essay10.txt;http://www.essayforum.com/writing-feedback-3/persuasive-essay-same-sex-marriage-non-issue-essay-39280/;The Non-Issue of Same Sex Marriage
essay11.txt;http://www.essayforum.com/writing-feedback-3/arguementative-persuasive-essay-camping-9834/;Everyone Should Go Camping
essay12.txt;http://www.essayforum.com/writing-feedback-3/school-locker-check-persuasive-essay-1434/;Locker checks
essay13.txt;http://www.essayforum.com/writing-feedback-3/computers-replace-man-powr-jobs-3591/;Computer replace  man power in jobs
essay14.txt;http://www.essayforum.com/writing-feedback-3/essay-lessons-teachers-versus-others-sources-6343/;Lessons with teachers versus others sources
essay15.txt;http://www.essayforum.com/writing-feedback-3/writing-email-text-messaging-threats-written-language-6551/;Email and text messaging threats written language
essay16.txt;http://www.essayforum.com/research-papers-11/essay-useing-animals-benefit-human-beings-6746/;Using animals for the benefit of the human beings
essay17.txt;http://www.essayforum.com/writing-feedback-3/should-rich-countries-help-poor-countries-51532/;Should rich countries help poor countries?
essay18.txt;http://www.essayforum.com/writing-feedback-3/gender-equality-uni-admission-6913/;Gender Equality at university admission
essay19.txt;http://www.essayforum.com/writing-feedback-3/essay-museums-as-form-entertainment-education-6954/;Museums as a form of entertainment or education?
essay20.txt;http://www.essayforum.com/student-talk-20/took-today-didnt-go-as-expected-6994/;Air pollution
essay21.txt;http://www.essayforum.com/writing-feedback-3/advertisements-affects-consumer-goods-preparing-7043/;Advertisements affects on consumer goods
essay22.txt;http://www.essayforum.com/writing-feedback-3/essay-young-people-should-go-university-not-17567/;Young people should go to university or not
